audience_status,rating_G,rating_NC17,rating_NR,rating_PG,rating_PG-13,rating_R,runtime_in_minutes,tomatometer_count,audience_rating,audience_count,audience_top_critics_count,audience_fresh_critics_count,audience_rotten_critics_count
1,0,0,1,0,0,0,4.248495242049359,15,79.0,310.0,5,14,1
0,0,0,1,0,0,0,4.499809670330265,9,19.0,196.0,5,1,8
0,0,0,0,0,1,0,4.820281565605037,219,50.0,32749429.0,46,97,122
0,0,0,0,0,0,1,4.574710978503383,31,56.0,1767.0,10,18,13
1,0,0,0,0,0,1,4.59511985013459,39,64.0,102991.0,12,11,28
1,0,0,0,0,0,1,4.584967478670572,11,84.0,4471.0,5,7,4
1,0,0,0,1,0,0,5.313205979041787,69,92.0,44969.0,14,63,6
0,0,0,0,0,1,0,4.48863636973214,26,28.0,35204.0,6,4,22
0,0,0,0,1,0,0,4.442651256490317,6,30.0,655.0,0,0,0
1,0,0,0,1,0,0,4.762173934797756,151,81.0,338641.0,36,84,67
1,0,0,1,0,0,0,4.787491742782046,23,68.0,728.0,7,4,19
0,0,0,0,0,0,1,4.430816798843313,82,34.0,35414.0,19,32,50
0,0,0,0,0,0,1,4.543294782270004,5,45.0,1933.0,0,4,1
0,0,0,0,0,0,1,4.7535901911063645,47,31.0,4593.0,18,24,23
0,0,0,0,1,0,0,4.787491742782046,24,35.0,1931.0,13,1,23
1,0,0,0,0,1,0,4.852030263919617,437,81.0,70495.0,63,398,39
1,0,0,0,0,0,1,4.962844630259907,83,64.0,25940.0,37,21,62
0,0,0,1,0,0,0,4.553876891600541,5,46.0,703.0,2,4,1
1,0,0,1,0,0,0,4.543294782270004,21,91.0,2574.0,8,20,1
1,0,0,0,0,1,0,4.787491742782046,62,74.0,8706.0,23,28,34
1,0,0,1,0,0,0,4.634728988229636,11,70.0,50.0,7,11,0
0,0,0,0,0,0,1,4.61512051684126,13,54.0,117.0,1,12,1
0,0,0,0,0,0,1,4.700480365792417,10,33.0,1914.0,3,2,8
0,0,0,0,0,0,1,4.51085950651685,7,22.0,3276.0,1,2,5
0,0,0,1,0,0,0,4.804021044733257,54,53.0,352.0,19,40,14
0,0,0,0,1,0,0,4.564348191467836,36,48.0,6543.0,14,10,26
1,0,0,0,0,0,1,4.499809670330265,159,89.0,34761.0,39,150,9
0,0,0,0,0,0,1,4.624972813284271,18,50.0,5060.0,6,8,10
0,0,0,0,0,0,1,4.553876891600541,27,46.0,31184.0,2,11,16
0,0,0,0,0,1,0,4.736198448394496,11,55.0,1380.0,1,6,5
0,0,0,0,0,0,1,4.48863636973214,16,14.0,117.0,5,0,16
0,0,0,1,0,0,0,4.653960350157523,38,29.0,3555.0,13,20,18
0,0,0,0,0,1,0,4.574710978503383,8,31.0,5737.0,1,4,4
1,0,0,0,0,0,1,4.663439094112067,9,60.0,1772.0,0,3,6
1,0,0,0,0,0,1,4.543294782270004,5,79.0,180.0,0,0,0
1,0,0,1,0,0,0,4.882801922586371,5,88.0,460.0,0,5,0
1,0,0,1,0,0,0,4.406719247264253,40,86.0,2463.0,13,37,3
0,0,0,0,1,0,0,4.532599493153256,10,41.0,8897.0,3,2,8
0,0,0,1,0,0,0,4.543294782270004,19,52.0,125.0,11,16,3
1,0,0,0,0,0,1,4.736198448394496,16,74.0,1154.0,1,13,3
0,0,0,0,0,1,0,4.762173934797756,211,49.0,127081.0,45,103,108
1,0,0,0,0,0,1,4.68213122712422,186,75.0,50972.0,35,171,15
1,0,0,0,0,1,0,4.672828834461906,222,63.0,78455.0,46,136,86
1,0,0,0,0,0,1,4.454347296253507,118,72.0,50650.0,43,103,15
0,0,0,0,0,0,1,4.584967478670572,19,47.0,1488.0,11,5,14
0,0,0,0,0,1,0,4.499809670330265,36,30.0,249.0,19,16,20
0,0,0,0,0,0,1,4.418840607796598,38,47.0,4444.0,16,14,24
1,0,0,0,0,0,1,4.624972813284271,5,74.0,3055.0,1,2,3
0,0,0,0,0,1,0,4.553876891600541,135,41.0,15740.0,39,45,90
1,0,0,0,0,0,1,4.499809670330265,10,75.0,42.0,2,5,5
0,0,0,0,0,1,0,4.442651256490317,70,22.0,28614.0,11,13,57
0,0,0,0,1,0,0,4.442651256490317,15,53.0,398.0,1,14,1
0,0,0,0,0,0,1,4.532599493153256,190,38.0,62222.0,46,127,63
0,0,0,0,0,0,1,4.418840607796598,97,43.0,8059.0,31,33,64
1,0,0,0,0,1,0,4.6443908991413725,39,75.0,6000.0,11,35,4
1,0,0,1,0,0,0,4.0943445622221,13,62.0,111.0,5,13,0
1,0,0,0,0,1,0,4.762173934797756,173,80.0,32601771.0,37,142,31
0,0,0,0,0,1,0,4.574710978503383,89,45.0,7497.0,26,70,19
0,0,0,0,0,0,1,4.51085950651685,16,15.0,156.0,5,9,7
